Date,PortfolioValue,Returns
2013-01-02,100000.0,0.0
2013-01-03,100000.0,0.0
2013-01-04,100000.0,0.0
2013-01-07,100000.0,0.0
2013-01-08,100000.0,0.0
2013-01-09,100000.0,0.0
2013-01-10,100000.0,0.0
2013-01-11,100000.0,0.0
2013-01-14,100000.0,0.0
2013-01-15,100000.0,0.0
2013-01-16,100000.0,0.0
2013-01-17,100000.0,0.0
2013-01-18,100000.0,0.0
2013-01-22,100000.0,0.0
2013-01-23,100000.0,0.0
2013-01-24,100000.0,0.0
2013-01-25,100000.0,0.0
2013-01-28,100000.0,0.0
2013-01-29,100000.0,0.0
2013-01-30,100000.0,0.0
2013-01-31,100000.0,0.0
2013-02-01,100000.0,0.0
2013-02-04,100000.0,0.0
2013-02-05,100000.0,0.0
2013-02-06,100000.0,0.0
2013-02-07,100000.0,0.0
2013-02-08,100000.0,0.0
2013-02-11,100000.0,0.0
2013-02-12,100000.0,0.0
2013-02-13,100000.0,0.0
2013-02-14,100000.0,0.0
2013-02-15,100000.0,0.0
2013-02-19,100000.0,0.0
2013-02-20,100000.0,0.0
2013-02-21,100000.0,0.0
2013-02-22,100000.0,0.0
2013-02-25,100000.0,0.0
2013-02-26,100000.0,0.0
2013-02-27,100000.0,0.0
2013-02-28,100000.0,0.0
2013-03-01,100000.0,0.0
2013-03-04,99999.76333277143,-2.3666722857160493e-06
2013-03-05,100000.1019930116,1.019930116017349e-06
2013-03-06,99999.93464701093,-6.535298906965181e-07
2013-03-07,100000.08489172376,8.489172375993803e-07
2013-03-08,100000.11970369733,1.1970369733171538e-06
2013-03-11,100000.30751173414,3.075117341359146e-06
2013-03-12,100000.01923506177,1.9235061772633344e-07
2013-03-13,100000.01679365552,1.6793655522633343e-07
2013-03-14,100000.1435245744,1.4352457440691068e-06
2013-03-15,100000.48432581342,4.8432581342058254e-06
2013-03-18,100000.41683526618,4.168352661799873e-06
2013-03-19,100000.5698277615,5.698277615010739e-06
2013-03-20,100000.64342090115,6.4342090114951135e-06
2013-03-21,100000.62357112393,6.2357112392783165e-06
2013-03-22,100000.34323855862,3.432385586202145e-06
2013-03-25,100000.29223605618,2.922360561788082e-06
2013-03-26,100000.36675044522,3.6675044521689417e-06
2013-03-27,100000.64342090115,6.4342090114951135e-06
2013-03-28,100000.93108436093,9.310843609273433e-06
2013-04-01,100001.35098239407,1.3509823940694332e-05
2013-04-02,100001.39098795659,1.3909879565908341e-05
2013-04-03,100001.39098795659,1.3909879565908341e-05
2013-04-04,100001.39098795659,1.3909879565908341e-05
2013-04-05,100001.39098795659,1.3909879565908341e-05
2013-04-08,100001.39098795659,1.3909879565908341e-05
2013-04-09,100001.39098795659,1.3909879565908341e-05
2013-04-10,100001.39098795659,1.3909879565908341e-05
2013-04-11,100001.39098795659,1.3909879565908341e-05
2013-04-12,100001.39098795659,1.3909879565908341e-05
2013-04-15,100001.39098795659,1.3909879565908341e-05
2013-04-16,100001.39098795659,1.3909879565908341e-05
2013-04-17,100001.39098795659,1.3909879565908341e-05
2013-04-18,100000.99582895653,9.958289565256564e-06
2013-04-19,100000.94941076652,9.49410766523215e-06
2013-04-22,100001.19798883812,1.1979888381174532e-05
2013-04-23,100001.4258035125,1.4258035124948948e-05
2013-04-24,100001.40534243004,1.4053424300363986e-05
2013-04-25,100001.49451383964,1.4945138396433321e-05
2013-04-26,100001.76385435478,1.7638543547800508e-05
2013-04-29,100002.15840277092,2.1584027709177464e-05
2013-04-30,100002.31048291063,2.310482910630526e-05
2013-05-01,100002.46836319305,2.4683631930529373e-05
2013-05-02,100002.27811375,2.278113749998738e-05
2013-05-03,100002.1419109378,2.1419109378039137e-05
2013-05-06,100001.81423797943,1.8142379794298906e-05
2013-05-07,100001.87684765198,1.876847651976277e-05
2013-05-08,100001.71865597107,1.718655971068074e-05
2013-05-09,100001.84223213531,1.8422321353136796e-05
2013-05-10,100001.95904198028,1.9590419802843825e-05
2013-05-13,100001.90463676788,1.9046367678820387e-05
2013-05-14,100002.23908367493,2.2390836749254958e-05
2013-05-15,100002.70049038269,2.7004903826891677e-05
2013-05-16,100002.87294104966,2.8729410496598575e-05
2013-05-17,100002.87294104966,2.8729410496598575e-05
2013-05-20,100002.87294104966,2.8729410496598575e-05
2013-05-21,100002.87294104966,2.8729410496598575e-05
2013-05-22,100002.87294104966,2.8729410496598575e-05
2013-05-23,100002.87294104966,2.8729410496598575e-05
2013-05-24,100002.87294104966,2.8729410496598575e-05
2013-05-28,100002.87294104966,2.8729410496598575e-05
2013-05-29,100002.87294104966,2.8729410496598575e-05
2013-05-30,100002.87294104966,2.8729410496598575e-05
2013-05-31,100002.87294104966,2.8729410496598575e-05
2013-06-03,100002.87294104966,2.8729410496598575e-05
2013-06-04,100002.87294104966,2.8729410496598575e-05
2013-06-05,100002.87294104966,2.8729410496598575e-05
2013-06-06,100002.87294104966,2.8729410496598575e-05
2013-06-07,100002.87294104966,2.8729410496598575e-05
2013-06-10,100002.87294104966,2.8729410496598575e-05
2013-06-11,100002.87294104966,2.8729410496598575e-05
2013-06-12,100002.87294104966,2.8729410496598575e-05
2013-06-13,100002.97930035062,2.9793003506201786e-05
2013-06-14,100002.79762634702,2.7976263470191042e-05
2013-06-17,100002.8575685925,2.8575685925025028e-05
2013-06-18,100002.8504990048,2.8504990047949832e-05
2013-06-19,100002.58090767331,2.5809076733130497e-05
2013-06-20,100002.3915480084,2.3915480083960572e-05
2013-06-21,100002.28887543149,2.2888754314917605e-05
2013-06-24,100001.95196804471,1.9519680447119752e-05
2013-06-25,100001.95473751493,1.954737514926819e-05
2013-06-26,100001.81456360288,1.814563602878479e-05
2013-06-27,100001.6826895184,1.682689518405823e-05
2013-06-28,100001.76722320981,1.767223209812073e-05
2013-07-01,100002.15731510587,2.157315105869202e-05
2013-07-02,100002.44227013059,2.4422701305884402e-05
2013-07-03,100002.51328072019,2.5132807201880494e-05
2013-07-05,100002.5006791981,2.5006791980995332e-05
2013-07-08,100002.5006791981,2.5006791980995332e-05
2013-07-09,100002.5006791981,2.5006791980995332e-05
2013-07-10,100002.5006791981,2.5006791980995332e-05
2013-07-11,100002.5006791981,2.5006791980995332e-05
2013-07-12,100002.5006791981,2.5006791980995332e-05
2013-07-15,100002.5006791981,2.5006791980995332e-05
2013-07-16,100002.5006791981,2.5006791980995332e-05
2013-07-17,100002.5006791981,2.5006791980995332e-05
2013-07-18,100002.5006791981,2.5006791980995332e-05
2013-07-19,100002.5006791981,2.5006791980995332e-05
2013-07-22,100002.5006791981,2.5006791980995332e-05
2013-07-23,100002.5006791981,2.5006791980995332e-05
2013-07-24,100002.5006791981,2.5006791980995332e-05
2013-07-25,100002.56830775487,2.568307754874695e-05
2013-07-26,100002.49176490057,2.491764900565613e-05
2013-07-29,100002.28273284185,2.2827328418497926e-05
2013-07-30,100002.11274325597,2.1127432559733278e-05
2013-07-31,100002.13702952611,2.1370295261149294e-05
2013-08-01,100002.00945555913,2.009455559134949e-05
2013-08-02,100001.8293236469,1.8293236469035036e-05
2013-08-05,100001.61690509069,1.6169050906901247e-05
2013-08-06,100001.74601638067,1.7460163806681522e-05
2013-08-07,100001.75431906927,1.7543190692667848e-05
2013-08-08,100001.78278434026,1.7827843402628787e-05
2013-08-09,100001.98576724279,1.9857672427897343e-05
2013-08-12,100001.58629500616,1.5862950061564334e-05
2013-08-13,100000.8990496372,8.990496371989139e-06
2013-08-14,100000.62273394811,6.2273394811199975e-06
2013-08-15,100000.6409920429,6.409920428995975e-06
2013-08-16,100000.50422465551,5.042246555094607e-06
2013-08-19,100000.33681761968,3.36817619681824e-06
2013-08-20,100000.54320513952,5.4320513951824975e-06
2013-08-21,100000.50329577673,5.03295776725281e-06
2013-08-22,100000.48472583044,4.847258304362185e-06
2013-08-23,100000.54476344335,5.447634433512576e-06
2013-08-26,100000.484422562,4.844225620036014e-06
2013-08-27,100000.92938029516,9.293802951578983e-06
2013-08-28,100000.85789859045,8.578985904459842e-06
2013-08-29,100000.83314501989,8.331450198893436e-06
2013-08-30,100000.97176730382,9.717673038248904e-06
2013-09-03,100000.92968547094,9.296854709391482e-06
2013-09-04,100000.61685359228,6.168535922770388e-06
2013-09-05,100000.72267615545,7.226761554484256e-06
2013-09-06,100000.6314009403,6.314009402994998e-06
2013-09-09,100000.38540160406,3.85401604056824e-06
2013-09-10,100000.7421683048,7.421683048014529e-06
2013-09-11,100001.59712356649,1.5971235664910638e-05
2013-09-12,100001.72677436807,1.7267743680713466e-05
2013-09-13,100001.48572364786,1.4857236478565027e-05
2013-09-16,100001.02839103677,1.0283910367725184e-05
2013-09-17,100001.18929592111,1.1892959211108973e-05
2013-09-18,100001.47892204263,1.4789220426318935e-05
2013-09-19,100001.71470466592,1.714704665922909e-05
2013-09-20,100001.56339565256,1.56339565255621e-05
2013-09-23,100002.28219810464,2.2821981046436122e-05
2013-09-24,100002.41339284275,2.413392842747271e-05
2013-09-25,100002.41339284275,2.413392842747271e-05
2013-09-26,100002.41339284275,2.413392842747271e-05
2013-09-27,100002.41339284275,2.413392842747271e-05
2013-09-30,100002.41339284275,2.413392842747271e-05
2013-10-01,100002.41339284275,2.413392842747271e-05
2013-10-02,100002.41339284275,2.413392842747271e-05
2013-10-03,100002.41339284275,2.413392842747271e-05
2013-10-04,100002.41339284275,2.413392842747271e-05
2013-10-07,100002.41339284275,2.413392842747271e-05
2013-10-08,100002.41339284275,2.413392842747271e-05
2013-10-09,100002.41339284275,2.413392842747271e-05
2013-10-10,100002.41339284275,2.413392842747271e-05
2013-10-11,100002.41339284275,2.413392842747271e-05
2013-10-14,100002.41339284275,2.413392842747271e-05
2013-10-15,100002.41339284275,2.413392842747271e-05
2013-10-16,100002.4034908919,2.4034908918984003e-05
2013-10-17,100002.29859339281,2.2985933928139276e-05
2013-10-18,100002.1627586989,2.162758698905236e-05
2013-10-21,100001.7768906264,1.7768906263954706e-05
2013-10-22,100001.8230007796,1.8230007795937127e-05
2013-10-23,100001.66549955889,1.6654995588905876e-05
2013-10-24,100001.45044600054,1.4504460005409783e-05
2013-10-25,100001.63455854937,1.6345585493691033e-05
2013-10-28,100001.51326262041,1.5132626204140252e-05
2013-10-29,100001.92170988604,1.921709886039025e-05
2013-10-30,100001.66735922381,1.66735922380758e-05
2013-10-31,100001.73544203326,1.735442033255822e-05
2013-11-01,100001.81805502459,1.8180550245888298e-05
2013-11-04,100001.61011587664,1.610115876639611e-05
2013-11-05,100001.65033804461,1.650338044608361e-05
2013-11-06,100001.69640432879,1.6964043287880485e-05
2013-11-07,100001.95876966997,1.958769669974572e-05
2013-11-08,100001.89372512154,1.893725121539319e-05
2013-11-11,100001.89372512154,1.893725121539319e-05
2013-11-12,100001.89372512154,1.893725121539319e-05
2013-11-13,100001.89372512154,1.893725121539319e-05
2013-11-14,100001.89372512154,1.893725121539319e-05
2013-11-15,100001.9432114375,1.9432114374940284e-05
2013-11-18,100002.14115417126,2.1411541712586767e-05
2013-11-19,100002.12870566825,2.1287056682485855e-05
2013-11-20,100002.12870566825,2.1287056682485855e-05
2013-11-21,100002.12870566825,2.1287056682485855e-05
2013-11-22,100002.12870566825,2.1287056682485855e-05
2013-11-25,100002.12870566825,2.1287056682485855e-05
2013-11-26,100002.12870566825,2.1287056682485855e-05
2013-11-27,100001.82836358527,1.8283635852712904e-05
2013-11-29,100001.51370828132,1.5137082813162124e-05
2013-12-02,100001.66434304694,1.6643430469412123e-05
2013-12-03,100001.19468514899,1.1946851489919937e-05
2013-12-04,100001.2357675312,1.2357675311941421e-05
2013-12-05,100001.14551751594,1.145517515935353e-05
2013-12-06,100001.39076821784,1.3907682178396499e-05
2013-12-09,100001.1912652729,1.1912652728933609e-05
2013-12-10,100001.21865098456,1.2186509845632826e-05
2013-12-11,100001.34906594733,1.3490659473318374e-05
2013-12-12,100001.37458436469,1.3745843646902358e-05
2013-12-13,100001.56474130134,1.5647413013357436e-05
2013-12-16,100001.46920220832,1.4692022083181655e-05
2013-12-17,100001.54731385688,1.547313856877736e-05
2013-12-18,100001.67865769843,1.6786576984304703e-05
2013-12-19,100001.87505738715,1.8750573871511734e-05
2013-12-20,100001.844859052,1.8448590519983556e-05
2013-12-23,100001.844859052,1.8448590519983556e-05
2013-12-24,100001.844859052,1.8448590519983556e-05
2013-12-26,100001.844859052,1.8448590519983556e-05
2013-12-27,100001.844859052,1.8448590519983556e-05
2013-12-30,100001.844859052,1.8448590519983556e-05
2013-12-31,100001.844859052,1.8448590519983556e-05
2014-01-02,100001.844859052,1.8448590519983556e-05
2014-01-03,100001.844859052,1.8448590519983556e-05
2014-01-06,100002.04653929696,2.0465392969636013e-05
2014-01-07,100001.9254665278,1.9254665277985623e-05
2014-01-08,100002.0319118403,2.0319118402985624e-05
2014-01-09,100001.81590842233,1.8159084223298122e-05
2014-01-10,100001.70449255929,1.704492559292703e-05
2014-01-13,100001.79132269845,1.791322698452859e-05
2014-01-14,100002.12310027108,2.1231002710846952e-05
2014-01-15,100002.4645290278,2.4645290277985624e-05
2014-01-16,100002.38796334574,2.3879633457399903e-05
2014-01-17,100002.38796334574,2.3879633457399903e-05
2014-01-21,100002.38796334574,2.3879633457399903e-05
2014-01-22,100002.38796334574,2.3879633457399903e-05
2014-01-23,100002.38796334574,2.3879633457399903e-05
2014-01-24,100002.38796334574,2.3879633457399903e-05
2014-01-27,100002.38796334574,2.3879633457399903e-05
2014-01-28,100002.38796334574,2.3879633457399903e-05
2014-01-29,100002.2883673689,2.28836736890662e-05
2014-01-30,100002.25817499372,2.2581749937235144e-05
2014-01-31,100002.28369531843,2.283695318430546e-05
2014-02-03,100002.31264982435,2.312649824350956e-05
2014-02-04,100002.53860197279,2.538601972788456e-05
2014-02-05,100002.65687380049,2.6568738004862097e-05
2014-02-06,100002.74985800001,2.7498580000101356e-05
2014-02-07,100002.9743491194,2.9743491193949013e-05
2014-02-10,100003.26584921095,3.2658492109476356e-05
2014-02-11,100003.31657556343,3.316575563425431e-05
2014-02-12,100003.31657556343,3.316575563425431e-05
2014-02-13,100003.31657556343,3.316575563425431e-05
2014-02-14,100003.31657556343,3.316575563425431e-05
2014-02-18,100003.31657556343,3.316575563425431e-05
2014-02-19,100003.31657556343,3.316575563425431e-05
2014-02-20,100003.31657556343,3.316575563425431e-05
2014-02-21,100003.31657556343,3.316575563425431e-05
2014-02-24,100003.31657556343,3.316575563425431e-05
2014-02-25,100003.31657556343,3.316575563425431e-05
2014-02-26,100003.31657556343,3.316575563425431e-05
2014-02-27,100003.31657556343,3.316575563425431e-05
2014-02-28,100003.31657556343,3.316575563425431e-05
2014-03-03,100003.31657556343,3.316575563425431e-05
2014-03-04,100003.31657556343,3.316575563425431e-05
2014-03-05,100003.31657556343,3.316575563425431e-05
2014-03-06,100003.31657556343,3.316575563425431e-05
2014-03-07,100003.31657556343,3.316575563425431e-05
2014-03-10,100003.31657556343,3.316575563425431e-05
2014-03-11,100003.31657556343,3.316575563425431e-05
2014-03-12,100003.31657556343,3.316575563425431e-05
2014-03-13,100003.31657556343,3.316575563425431e-05
2014-03-14,100003.31657556343,3.316575563425431e-05
2014-03-17,100003.31657556343,3.316575563425431e-05
2014-03-18,100003.31657556343,3.316575563425431e-05
2014-03-19,100003.31657556343,3.316575563425431e-05
2014-03-20,100003.31657556343,3.316575563425431e-05
2014-03-21,100003.31657556343,3.316575563425431e-05
2014-03-24,100003.31657556343,3.316575563425431e-05
2014-03-25,100003.20730546092,3.2073054609209064e-05
2014-03-26,100003.37042763804,3.37042763804493e-05
2014-03-27,100003.44306519603,3.443065196028329e-05
2014-03-28,100003.46185448741,3.461854487410164e-05
2014-03-31,100003.46560814952,3.465608149519539e-05
2014-04-01,100003.31187775706,3.311877757063485e-05
2014-04-02,100003.28369858836,3.283698588362313e-05
2014-04-03,100003.40141633128,3.401416331282235e-05
2014-04-04,100003.61965516185,3.619655161848641e-05
2014-04-07,100003.73862954673,3.738629546729498e-05
2014-04-08,100003.68383733528,3.6838373352802594e-05
2014-04-09,100003.89926282661,3.899262826613267e-05
2014-04-10,100003.68509427803,3.685094278029283e-05
2014-04-11,100003.56392614143,3.563926141432603e-05
2014-04-14,100003.62873784798,3.6287378479755715e-05
2014-04-15,100003.51226941841,3.512269418410142e-05
2014-04-16,100003.54514066475,3.545140664748033e-05
2014-04-17,100003.73080770271,3.7308077027119e-05
2014-04-21,100003.92587034004,3.925870340041001e-05
2014-04-22,100003.94246808784,3.942468087843736e-05
2014-04-23,100003.8598062046,3.859806204593042e-05
2014-04-24,100003.8598062046,3.859806204593042e-05
2014-04-25,100003.62779859896,3.6277985989581795e-05
2014-04-28,100002.93428472872,2.9342847287189216e-05
2014-04-29,100002.98940138216,2.9894013821613042e-05
2014-04-30,100003.059526962,3.0595269619952884e-05
2014-05-01,100003.01601080294,3.0160108029376717e-05
2014-05-02,100002.98157362337,2.981573623372242e-05
2014-05-05,100002.7191892087,2.7191892086993903e-05
2014-05-06,100002.9242749631,2.9242749630939214e-05
2014-05-07,100002.98940138216,2.9894013821613042e-05
2014-05-08,100003.02246336336,3.0224633633624764e-05
2014-05-09,100003.09959654207,3.099596542073414e-05
2014-05-12,100002.87007192965,2.870071929646656e-05
2014-05-13,100002.84078649874,2.840786498738453e-05
2014-05-14,100002.83732847567,2.8373284756671636e-05
2014-05-15,100002.99632315035,2.996323150349781e-05
2014-05-16,100002.72272352572,2.722723525715992e-05
2014-05-19,100002.4998040616,2.499804061604664e-05
2014-05-20,100002.49602751131,2.496027511311695e-05
2014-05-21,100002.44565443392,2.4456544339191168e-05
2014-05-22,100002.41543249483,2.4154324948322027e-05
2014-05-23,100002.1994500577,2.1994500576984137e-05
2014-05-27,100001.83737043734,1.8373704373370857e-05
2014-05-28,100001.88837484713,1.8883748471271247e-05
2014-05-29,100001.53039793367,1.5303979336749763e-05
2014-05-30,100001.60532812472,1.6053281247150152e-05
2014-06-02,100001.74228720064,1.74228720064275e-05
2014-06-03,100001.46238188143,1.4623818814288825e-05
2014-06-04,100001.23317961092,1.2331796109210699e-05
2014-06-05,100001.15352682467,1.1535268246661871e-05
2014-06-06,100001.20956663485,1.2095666348468513e-05
2014-06-09,100000.88432936068,8.843293606769294e-06
2014-06-10,100000.76310781832,7.631078183185309e-06
2014-06-11,100000.8490682065,8.490682065021246e-06
2014-06-12,100001.19508413668,1.1950841366779059e-05
2014-06-13,100001.41767935152,1.4176793515216559e-05
2014-06-16,100001.21491674776,1.2149167477618903e-05
2014-06-17,100001.24136595125,1.2413659512531013e-05
2014-06-18,100001.21932463045,1.21932463045232e-05
2014-06-19,100001.2898469388,1.2898469388019293e-05
2014-06-20,100001.49922994967,1.4992299496661871e-05
2014-06-23,100001.40886553243,1.4088655324303545e-05
2014-06-24,100001.40886553243,1.4088655324303545e-05
2014-06-25,100001.40886553243,1.4088655324303545e-05
2014-06-26,100001.40886553243,1.4088655324303545e-05
2014-06-27,100001.40886553243,1.4088655324303545e-05
2014-06-30,100001.40886553243,1.4088655324303545e-05
2014-07-01,100001.40886553243,1.4088655324303545e-05
2014-07-02,100001.40886553243,1.4088655324303545e-05
2014-07-03,100001.40886553243,1.4088655324303545e-05
2014-07-07,100001.40886553243,1.4088655324303545e-05
2014-07-08,100001.6116267145,1.611626714497106e-05
2014-07-09,100001.60280331972,1.6028033197217154e-05
2014-07-10,100001.67994222048,1.6799422204785513e-05
2014-07-11,100001.64026746157,1.6402674615674185e-05
2014-07-14,100001.36918362978,1.3691836297803093e-05
2014-07-15,100001.61823377016,1.6182337701611685e-05
2014-07-16,100001.7372504175,1.737250417500036e-05
2014-07-17,100002.10971364382,2.1097136438183954e-05
2014-07-18,100001.99290144758,1.9929014475783333e-05
2014-07-21,100001.99290144758,1.9929014475783333e-05
2014-07-22,100001.99290144758,1.9929014475783333e-05
2014-07-23,100001.99290144758,1.9929014475783333e-05
2014-07-24,100001.99510584945,1.9951058494480096e-05
2014-07-25,100001.854051696,1.8540516960056267e-05
2014-07-28,100001.55651866073,1.556518660727306e-05
2014-07-29,100001.69757662887,1.6975766288669548e-05
2014-07-30,100001.74827014083,1.7482701408298453e-05
2014-07-31,100002.31027232284,2.3102723228366813e-05
2014-08-01,100002.46454502379,2.4645450237876504e-05
2014-08-04,100002.46454502379,2.4645450237876504e-05
2014-08-05,100002.46454502379,2.4645450237876504e-05
2014-08-06,100002.46454502379,2.4645450237876504e-05
2014-08-07,100002.46454502379,2.4645450237876504e-05
2014-08-08,100002.46454502379,2.4645450237876504e-05
2014-08-11,100002.46454502379,2.4645450237876504e-05
2014-08-12,100002.46454502379,2.4645450237876504e-05
2014-08-13,100002.46454502379,2.4645450237876504e-05
2014-08-14,100002.46454502379,2.4645450237876504e-05
2014-08-15,100002.46454502379,2.4645450237876504e-05
2014-08-18,100002.46454502379,2.4645450237876504e-05
2014-08-19,100002.21647804437,2.216478044370888e-05
2014-08-20,100002.20761650262,2.207616502622841e-05
2014-08-21,100002.20540397821,2.2054039782087783e-05
2014-08-22,100002.04150551019,2.0415055101912003e-05
2014-08-25,100001.99277275262,1.992772752622841e-05
2014-08-26,100002.13673752008,2.1367375200788957e-05
2014-08-27,100001.86209648309,1.862096483091591e-05
2014-08-28,100001.83551948724,1.8355194872419816e-05
2014-08-29,100001.78014915643,1.7801491564314347e-05
2014-09-02,100001.6029469317,1.6029469316999893e-05
2014-09-03,100002.56864708124,2.5686470812361222e-05
2014-09-04,100002.58858814146,2.5885881414578762e-05
2014-09-05,100002.58858814146,2.5885881414578762e-05
2014-09-08,100002.58858814146,2.5885881414578762e-05
2014-09-09,100002.58858814146,2.5885881414578762e-05
2014-09-10,100002.58858814146,2.5885881414578762e-05
2014-09-11,100002.58858814146,2.5885881414578762e-05
2014-09-12,100002.58858814146,2.5885881414578762e-05
2014-09-15,100002.58858814146,2.5885881414578762e-05
2014-09-16,100002.58858814146,2.5885881414578762e-05
2014-09-17,100002.58858814146,2.5885881414578762e-05
2014-09-18,100002.58858814146,2.5885881414578762e-05
2014-09-19,100002.58858814146,2.5885881414578762e-05
2014-09-22,100002.58858814146,2.5885881414578762e-05
2014-09-23,100002.58858814146,2.5885881414578762e-05
2014-09-24,100002.58858814146,2.5885881414578762e-05
2014-09-25,100002.58858814146,2.5885881414578762e-05
2014-09-26,100003.08029468522,3.0802946852199965e-05
2014-09-29,100002.61517387614,2.615173876140034e-05
2014-09-30,100002.61517387614,2.615173876140034e-05
2014-10-01,100002.61517387614,2.615173876140034e-05
2014-10-02,100002.61517387614,2.615173876140034e-05
2014-10-03,100002.61517387614,2.615173876140034e-05
2014-10-06,100002.61517387614,2.615173876140034e-05
2014-10-07,100002.61517387614,2.615173876140034e-05
2014-10-08,100003.06701229292,3.067012292915024e-05
2014-10-09,100003.23091472559,3.230914725587354e-05
2014-10-10,100003.23091472559,3.230914725587354e-05
2014-10-13,100003.23091472559,3.230914725587354e-05
2014-10-14,100003.23091472559,3.230914725587354e-05
2014-10-15,100003.23091472559,3.230914725587354e-05
2014-10-16,100003.38817193962,3.3881719396158587e-05
